,wave,gender,age,age_o,d_age,d_d_age,race,race_o,samerace,importance_same_race,importance_same_religion,d_importance_same_race,d_importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,d_pref_o_attractive,d_pref_o_sincere,d_pref_o_intelligence,d_pref_o_funny,d_pref_o_ambitious,d_pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,d_attractive_o,d_sinsere_o,d_intelligence_o,d_funny_o,d_ambitous_o,d_shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,d_attractive_important,d_sincere_important,d_intellicence_important,d_funny_important,d_ambtition_important,d_shared_interests_important,attractive,sincere,intelligence,funny,ambition,d_attractive,d_sincere,d_intelligence,d_funny,d_ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,d_attractive_partner,d_sincere_partner,d_intelligence_partner,d_funny_partner,d_ambition_partner,d_shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,d_sports,d_tvsports,d_exercise,d_dining,d_museums,d_art,d_hiking,d_gaming,d_clubbing,d_reading,d_tv,d_theater,d_movies,d_concerts,d_music,d_shopping,d_yoga,interests_correlate,d_interests_correlate,expected_happy_with_sd_people,d_expected_happy_with_sd_people,d_expected_num_interested_in_me,d_expected_num_matches,like,guess_prob_liked,d_like,d_guess_prob_liked,met,decision,decision_o,match
0,1.0,0.0,21.0,27.0,6.0,2.0,1.0,3.0,0.0,2.0,4.0,1.0,1.0,124.0,35.0,20.0,20.0,20.0,0.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,6.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,20.0,20.0,15.0,15.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,8.0,8.0,8.0,7.0,1.0,1.0,1.0,1.0,1.0,6.0,9.0,7.0,7.0,6.0,1.0,2.0,1.0,1.0,1.0,0.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.14,1.0,3.0,0.0,0.0,1.0,7.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0
1,1.0,0.0,21.0,22.0,1.0,0.0,1.0,3.0,0.0,2.0,4.0,1.0,1.0,124.0,60.0,0.0,0.0,40.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,7.0,8.0,10.0,7.0,7.0,1.0,1.0,2.0,1.0,1.0,0.0,15.0,20.0,20.0,15.0,15.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,8.0,8.0,8.0,7.0,1.0,1.0,1.0,1.0,1.0,7.0,8.0,7.0,8.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.54,2.0,3.0,0.0,0.0,1.0,7.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0
2,1.0,0.0,21.0,22.0,1.0,0.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,124.0,19.0,18.0,19.0,18.0,14.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,8.0,8.0,8.0,7.0,1.0,1.0,1.0,1.0,1.0,5.0,8.0,9.0,8.0,5.0,0.0,1.0,2.0,1.0,0.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.16,1.0,3.0,0.0,0.0,1.0,7.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0
3,1.0,0.0,21.0,23.0,2.0,1.0,1.0,3.0,0.0,2.0,4.0,1.0,1.0,124.0,30.0,5.0,15.0,40.0,5.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,7.0,8.0,9.0,8.0,9.0,1.0,1.0,2.0,1.0,2.0,1.0,15.0,20.0,20.0,15.0,15.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,8.0,8.0,8.0,7.0,1.0,1.0,1.0,1.0,1.0,7.0,6.0,8.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.61,2.0,3.0,0.0,0.0,1.0,7.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0
4,1.0,0.0,21.0,24.0,3.0,1.0,1.0,4.0,0.0,2.0,4.0,1.0,1.0,124.0,30.0,10.0,20.0,10.0,10.0,20.0,2.0,0.0,1.0,0.0,0.0,1.0,8.0,7.0,9.0,6.0,9.0,1.0,1.0,2.0,1.0,2.0,1.0,15.0,20.0,20.0,15.0,15.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,8.0,8.0,8.0,7.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,7.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.21,1.0,3.0,0.0,0.0,1.0,6.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0
5,1.0,0.0,21.0,25.0,4.0,2.0,1.0,3.0,0.0,2.0,4.0,1.0,1.0,124.0,50.0,0.0,30.0,10.0,0.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,7.0,7.0,8.0,8.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,20.0,20.0,15.0,15.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,8.0,8.0,8.0,7.0,1.0,1.0,1.0,1.0,1.0,4.0,9.0,7.0,4.0,6.0,0.0,2.0,1.0,0.0,1.0,0.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.25,1.0,3.0,0.0,0.0,1.0,6.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0
6,1.0,0.0,21.0,30.0,9.0,3.0,1.0,3.0,0.0,2.0,4.0,1.0,1.0,124.0,35.0,15.0,25.0,10.0,5.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,6.0,7.0,5.0,8.0,0.0,1.0,1.0,0.0,1.0,1.0,15.0,20.0,20.0,15.0,15.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,8.0,8.0,8.0,7.0,1.0,1.0,1.0,1.0,1.0,7.0,6.0,7.0,4.0,6.0,1.0,1.0,1.0,0.0,1.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.34,2.0,3.0,0.0,0.0,1.0,6.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0
7,1.0,0.0,21.0,27.0,6.0,2.0,1.0,3.0,0.0,2.0,4.0,1.0,1.0,124.0,33.33,11.11,11.11,11.11,11.11,22.22,2.0,0.0,0.0,0.0,0.0,2.0,6.0,7.0,5.0,6.0,8.0,1.0,1.0,0.0,1.0,1.0,1.0,15.0,20.0,20.0,15.0,15.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,8.0,8.0,8.0,7.0,1.0,1.0,1.0,1.0,1.0,4.0,9.0,7.0,6.0,5.0,0.0,2.0,1.0,1.0,0.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.5,2.0,3.0,0.0,0.0,1.0,6.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0
8,1.0,0.0,21.0,28.0,7.0,3.0,1.0,3.0,0.0,2.0,4.0,1.0,1.0,124.0,50.0,0.0,25.0,10.0,0.0,15.0,2.0,0.0,2.0,0.0,0.0,0.0,7.0,7.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,8.0,8.0,8.0,7.0,1.0,1.0,1.0,1.0,1.0,7.0,6.0,8.0,9.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.28,1.0,3.0,0.0,0.0,1.0,7.0,7.0,1.0,2.0,0.0,1.0,1.0,1.0
9,1.0,0.0,21.0,24.0,3.0,1.0,1.0,3.0,0.0,2.0,4.0,1.0,1.0,124.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,20.0,20.0,15.0,15.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,8.0,8.0,8.0,7.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,6.0,8.0,10.0,0.0,1.0,1.0,1.0,2.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,-0.36,0.0,3.0,0.0,0.0,1.0,6.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0
